blast_name,A_rank,B_rank,score_type,definition,ID_for_distillate
BAC0001,200,120,full,abeM;Q5FAM9_ACIBA Multidrug efflux pump AbeM OS=Acinetobacter baumannii GN=abeM PE=4 SV=2,BAC0001
BAC0002,200,120,full,abeS;Q2FD83_ACIBA QacEdelta1 SMR family efflux pump OS=Acinetobacter baumannii GN=qacEdelta1 PE=3 SV=1,BAC0002
BAC0003,200,120,full,acn;O53166_MYCTU Aconitate hydratase OS=Mycobacterium tuberculosis H37Rv GN=RVBD_1475c PE=4 SV=1,BAC0003
BAC0004,200,120,full,acr3;B5LX01_CAMJU Acr3 OS=Campylobacter jejuni GN=acr3 PE=4 SV=1,BAC0004
BAC0005,200,120,full,acrA;ACRA_ECOLI Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1,BAC0005
BAC0006,200,120,full,acrB;ACRB_ECOLI Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1,BAC0006
BAC0007,200,120,full,acrC;Q1LMP2_RALME Cation/multidrug efflux system outer membrane porin OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=acrC PE=4 SV=1,BAC0007
BAC0563,200,120,full,acrD;Q8ZN77_SALTY RND family aminoglycoside/multidrug efflux pump OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=acrD PE=4 SV=1,BAC0563
BAC0008,200,120,full,acrD/yffA;ACRD_ECOLI Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3,BAC0008
BAC0009,200,120,full,acrE/envC;ACRE_ECOLI Acriflavine resistance protein E OS=Escherichia coli (strain K12) GN=acrE PE=2 SV=2,BAC0009
BAC0010,200,120,full,acrF/envD;ACRF_ECOLI Acriflavine resistance protein F OS=Escherichia coli (strain K12) GN=acrF PE=2 SV=2,BAC0010
BAC0011,200,120,full,acrR/ybaH;ACRR_ECOLI HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1,BAC0011
BAC0567,200,120,full,actA;LNT_SINMW Apolipoprotein N-acyltransferase OS=Sinorhizobium medicae (strain WSM419) GN=lnt PE=3 SV=3,BAC0567
BAC0012,200,120,full,actP;ATCU_SINMW Copper-transporting P-type ATPase OS=Sinorhizobium medicae (strain WSM419) GN=actP PE=1 SV=1,BAC0012
BAC0568,200,120,full,actP;ATCU_RHILV Copper-transporting P-type ATPase OS=Rhizobium leguminosarum bv. viciae GN=actP PE=1 SV=1,BAC0568
BAC0570,200,120,full,actP;D5AU53_RHOCB Cation/acetate symporter ActP-1 OS=Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003) GN=actP1 PE=3 SV=1,BAC0570
BAC0564,200,120,full,actP/yjcG;ACTP_ECOLI Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1,BAC0564
BAC0565,200,120,full,actR;ACTR_SINMW Acid tolerance regulatory protein ActR OS=Sinorhizobium medicae (strain WSM419) GN=actR PE=3 SV=1,BAC0565
BAC0566,200,120,full,actS;Q52912_9RHIZ Histidine protein kinase OS=Sinorhizobium medicae GN=actS PE=4 SV=1,BAC0566
BAC0471,200,120,full,adeA;Q93E20_ACIBA AdeA membrane fusion protein OS=Acinetobacter baumannii GN=adeA PE=4 SV=1,BAC0471
BAC0472,200,120,full,adeB;Q93E19_ACIBA AdeB RND protein OS=Acinetobacter baumannii GN=adeB PE=4 SV=1,BAC0472
BAC0473,200,120,full,adeC;Q93E18_ACIBA AdeC outer membrane protein OS=Acinetobacter baumannii GN=adeC PE=4 SV=1,BAC0473
BAC0474,200,120,full,adeD;Q67GM1_ACIG3 AdeD OS=Acinetobacter sp. 4365 GN=adeD PE=4 SV=1,BAC0474
BAC0013,200,120,full,adeE;Q8GKU1_ACIG3 AdeE OS=Acinetobacter sp. 4365 GN=adeE PE=4 SV=2,BAC0013
BAC0014,200,120,full,adeF;Q2FD82_ACIBA Putative RND family drug transporter OS=Acinetobacter baumannii GN=29_161 PE=4 SV=1,BAC0014
BAC0015,200,120,full,adeG;Q2FD81_ACIBA Cation/multidrug efflux pump OS=Acinetobacter baumannii GN=29_167 PE=4 SV=1,BAC0015
BAC0016,200,120,full,adeH;Q2FD80_ACIBA Putative RND family drug transporter OS=Acinetobacter baumannii GN=29_170 PE=4 SV=1,BAC0016
BAC0017,200,120,full,adeI;Q2FD95_ACIBA AdeI OS=Acinetobacter baumannii GN=adeI PE=4 SV=1,BAC0017
BAC0018,200,120,full,adeJ;Q24LT7_ACIBA AdeJ OS=Acinetobacter baumannii GN=adeJ PE=4 SV=1,BAC0018
BAC0019,200,120,full,adeK;Q24LT6_ACIBA AdeK OS=Acinetobacter baumannii GN=adeK PE=4 SV=1,BAC0019
BAC0508,200,120,full,adeL;A3M732_ACIBT Transcriptional regulator LysR family OS=Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755) GN=A1S_2303 PE=4 SV=2,BAC0508
BAC0496,200,120,full,"adeN;B7H1T7_ACIB3 Bacterial regulatory protein, tetR family protein OS=Acinetobacter baumannii (strain AB307-0294) GN=ABBFA_001467 PE=4 SV=1",BAC0496
BAC0478,200,120,full,adeT1;C7F8K6_ACIBA AdeT1 OS=Acinetobacter baumannii PE=4 SV=1,BAC0478
